Concordance,type,lex_asp_b,lex_asp,lex_asp_2,bound_2,bounding,telicity,temp_bound,verb_lemma,File,period
"E3-P1,101.28 Next , we may also as plainly see the reason of its shining quality HOOKE-E3-P1,101.29 and that is from the even breaking off of the stick , HOOKE-E3-P1,102.31 the solid interstitia having a regular termination or surface , and having a ",NG,achievement,achievement,achievement,bound,bound,telic,bound,breaking _off,hooke-e3-p1.txt,EModE
"fe , is abhorred and accounted as a villain without redemption . So that with hangings , headings , breakings , pardoning and killing of dogges , flaying of beasts , emptying vaults , and such priuie commodities , his whole reuenue sometimes amounts ",NG,activity,activity,activity,unbound,unbound,atelic,neutral,killing,jotaylor-e2-p1.txt,EModE
" thus : BOETHPR-E3-H,137.133 Because by the attaining of Beatitude Men are happy , and Beatitude is Divinity it self , by the attaining of Divinity it is manifest that Men are made happy . BOETHPR-E3-H,137.134 But as from Mens being endowed with the ",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,attaining,boethpr-e3-h.txt,EModE
"fflicted as Oroonoko was , that he was proclaimed general in the old man's place : BEHN-E3-P1,152.84 and then it was , at the finishing of that war , which had continued for two years , that the prince came to court , where he had hardly been a month",NG,achievement,activity,activity,unbound,unbound,telic,unbound,finishing,behn-e3-p1.txt,EModE
"on this misadventure , the Queene directed her letteres to the Lord Mayor and citizens of London to take speedy order for the repayring of thes harmes ; HAYWARD-E2-H,88.187 and , for ther better encouragement , shee delivered foorthwith one thousand ",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,repairing,hayward-e2-h.txt,EModE
"nd Vomiting , she tooke of this Electuary at diuers times a day , the quantity of 3. Oun. at a time . CLOWES-E2-P1,44.210 The making heereof is as followeth . CLOWES-E2-P1,44.211 Recipe Bol. Armoniacj Orient. {COM:ounce_symbol} i. Cynamomj {COM:ounce",NG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,making,clowes-e2-p1.txt,EModE
" and Reverend Trustees for the maintenance of Students . HOOLE-E3-H,220.137 And as before I have hinted somewhat touching the erecting of Petty-Schooles whereof there is great need , especially in London ; so I will here presume and I hope it will pr",NG,activity,activity,activity,unbound,unbound,atelic,neutral,erecting,hoole-e3-h.txt,EModE
", and of reasonable Wealth . Wherefore she hauing a good opinion of her man Iohn , committed vnto his gouerment {COM:sic} the guiding of all hir Workefolkes , for the space of three yeares together : In which time shee found him so carefull and dilig",NG,activity,activity,activity,unbound,unbound,atelic,neutral,guiding,deloney-e2-p1.txt,EModE
"2,105.158 for the later will prosper and come on , MARKHAM-E2-H,2,105.159 the other will decay and fall into disease ; as the pissing of blood , and such like , for which disease and all other you may finde assured cures in a little booke I published",NG,activity,activity,activity,unbound,unbound,atelic,neutral,pissing,markham-e2-h.txt,EModE
"ourse you have taken in this point . BRINSLEY-E2-H,41.124 Spoud. This first observation seemeth strange unto me , at the very naming of it . BRINSLEY-E2-H,41.125 I my selfe have used onely this course , BRINSLEY-E2-H,41.126 and I thinke it to be all ",NG,achievement,activity,activity,unbound,unbound,telic,unbound,naming,brinsley-e2-h.txt,EModE
